schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date,source_name,arxiv_id,github_forks,github_watchers
1.0,RESEARCH_PAPER,Proximal Mean-field for Neural Network Quantization,,https://arxiv.org/abs/1812.04353v3,https://github.com/tajanthan/pmf,21,,Papers With Code / arXiv,1812.04353,4,21
1.0,RESEARCH_PAPER,Scale-wise Convolution for Image Restoration,,https://arxiv.org/abs/1912.09028v1,https://github.com/ychfan/scn,30,,Papers With Code / arXiv,1912.09028,6,30
1.0,RESEARCH_PAPER,Measuring Spatial Allocative Efficiency in Basketball,,https://arxiv.org/abs/1912.05129v2,https://github.com/nsandholtz/lpl,12,,Papers With Code / arXiv,1912.05129,1,12
1.0,RESEARCH_PAPER,Towards a General Purpose CNN for Long Range Dependencies in $N$D,,https://arxiv.org/abs/2206.03398v2,https://github.com/david-knigge/ccnn,183,,Papers With Code / arXiv,2206.03398,21,183
1.0,RESEARCH_PAPER,Unsupervised Feature Learning via Non-Parametric Instance-level Discrimination,,http://arxiv.org/abs/1805.01978v1,https://github.com/zhirongw/lemniscate.pytorch,759,,Papers With Code / arXiv,1805.01978,130,759
1.0,RESEARCH_PAPER,Modeling and Control of a Reconfigurable Photonic Circuit using Deep Learning,,https://arxiv.org/abs/1907.08023v1,https://github.com/akramyoussry/GRUBI,2,,Papers With Code / arXiv,1907.08023,3,2
1.0,RESEARCH_PAPER,Spotting Macro- and Micro-expression Intervals in Long Video Sequences,,https://arxiv.org/abs/1912.11985v3,https://github.com/HeyingGithub/Baseline-project-for-MEGC2020_spotting,37,,Papers With Code / arXiv,1912.11985,8,37
1.0,RESEARCH_PAPER,Fast Context Adaptation via Meta-Learning,,https://arxiv.org/abs/1810.03642v4,https://github.com/lmzintgraf/cavia,145,,Papers With Code / arXiv,1810.03642,41,145
1.0,RESEARCH_PAPER,Structural Regularities in Text-based Entity Vector Spaces,,http://arxiv.org/abs/1707.07930v1,https://github.com/cvangysel/SERT,111,,Papers With Code / arXiv,1707.07930,18,111
1.0,RESEARCH_PAPER,robROSE: A robust approach for dealing with imbalanced data in fraud detection,,https://arxiv.org/abs/2003.11915v1,https://github.com/SebastiaanHoppner/robROSE,2,,Papers With Code / arXiv,2003.11915,1,2
1.0,RESEARCH_PAPER,Global Hash Tables Strike Back! An Analysis of Parallel GROUP BY Aggregation,,https://arxiv.org/abs/2505.04153v1,https://github.com/danielxue/global-hash-tables-strike-back,7,,Papers With Code / arXiv,2505.04153,1,7
1.0,RESEARCH_PAPER,mlOSP: Towards a Unified Implementation of Regression Monte Carlo Algorithms,,https://arxiv.org/abs/2012.00729v2,https://github.com/mludkov/mlOSP,9,,Papers With Code / arXiv,2012.00729,2,9
