input_name,canonical_name,match_type,score
LiteLLM,,NO_MATCH,0.0
Automat,,NO_MATCH,0.0
Yuma AI,,NO_MATCH,0.0
Vaero,,NO_MATCH,0.0
kapa.ai,,NO_MATCH,0.0
Kino AI,,NO_MATCH,0.0
Reworkd,,NO_MATCH,0.0
Branch AI,,NO_MATCH,0.0
Ora AI,,NO_MATCH,0.0
Xeol,,NO_MATCH,0.0
Clearest Health,,NO_MATCH,0.0
Elyos AI,,NO_MATCH,0.0
Deasy Labs,,NO_MATCH,0.0
Sohar Health,,NO_MATCH,0.0
Pointhound,,NO_MATCH,0.0
Casca,,NO_MATCH,0.0
Atla,,NO_MATCH,0.0
Contour,,NO_MATCH,0.0
Talc,,NO_MATCH,0.0
CORE,,NO_MATCH,0.0
GreenTally,,NO_MATCH,0.0
Spine AI,,NO_MATCH,0.0
Baud,,NO_MATCH,0.0
SID,,NO_MATCH,0.0
Venta AI,,NO_MATCH,0.0
Bronco AI,,NO_MATCH,0.0
Arcimus,,NO_MATCH,0.0
Serra,,NO_MATCH,0.0
Dialtone,,NO_MATCH,0.0
Cardinal Gray,,NO_MATCH,0.0
Skyvern,,NO_MATCH,0.0
Decoda Health,,NO_MATCH,0.0
VetRec,,NO_MATCH,0.0
Lysto,,NO_MATCH,0.0
MediSearch,,NO_MATCH,0.0
Bretton AI,,NO_MATCH,0.0
Vizly,,NO_MATCH,0.0
AgentCollect,,NO_MATCH,0.0
Continue,,NO_MATCH,0.0
sizeless,,NO_MATCH,0.0
Pincites,,NO_MATCH,0.0
Gleam,,NO_MATCH,0.0
Slicker,,NO_MATCH,0.0
Sola,,NO_MATCH,0.0
Baserun,,NO_MATCH,0.0
VectorShift,,NO_MATCH,0.0
DisputeNinja,,NO_MATCH,0.0
Inari,,NO_MATCH,0.0
Silimate,,NO_MATCH,0.0
Sweep,,NO_MATCH,0.0
sudocode,,NO_MATCH,0.0
Inventive AI,,NO_MATCH,0.0
Langdock,,NO_MATCH,0.0
Movley,,NO_MATCH,0.0
Terracotta AI,,NO_MATCH,0.0
Tiptap,,NO_MATCH,0.0
Minded,,NO_MATCH,0.0
Quill Bills,,NO_MATCH,0.0
Cair Health,,NO_MATCH,0.0
Webhound,,NO_MATCH,0.0
Roame,,NO_MATCH,0.0
Kips Health,,NO_MATCH,0.0
Inconvo,,NO_MATCH,0.0
FlowiseAI,,NO_MATCH,0.0
Giga,,NO_MATCH,0.0
AiSDR,,NO_MATCH,0.0
Simbie AI,,NO_MATCH,0.0
Mocha,,NO_MATCH,0.0
Twine,,NO_MATCH,0.0
Structured Labs,,NO_MATCH,0.0
Nowadays,,NO_MATCH,0.0
Morph,,NO_MATCH,0.0
Wattson Health,,NO_MATCH,0.0
truemetrics,,NO_MATCH,0.0
Autotab,,NO_MATCH,0.0
Opensteer,,NO_MATCH,0.0
Tempo,,NO_MATCH,0.0
Orbio Earth,,NO_MATCH,0.0
Gumloop,,NO_MATCH,0.0
DryMerge,,NO_MATCH,0.0
OpenPipe,,NO_MATCH,0.0
RadMate AI,,NO_MATCH,0.0
Scritch,,NO_MATCH,0.0
Legora,,NO_MATCH,0.0
ego,,NO_MATCH,0.0
Greptile,,NO_MATCH,0.0
Happenstance,,NO_MATCH,0.0
Duckie,,NO_MATCH,0.0
Tekton Dynamics,,NO_MATCH,0.0
Momentic,,NO_MATCH,0.0
Quary,,NO_MATCH,0.0
Pretzel AI,,NO_MATCH,0.0
nCompass Technologies,,NO_MATCH,0.0
Keystroke,,NO_MATCH,0.0
Pivot Robotics,,NO_MATCH,0.0
Agentic Labs,,NO_MATCH,0.0
Breez Labs,,NO_MATCH,0.0
PointOne,,NO_MATCH,0.0
Arini,,NO_MATCH,0.0
Artisan,,NO_MATCH,0.0
Eggnog,,NO_MATCH,0.0
Ecliptor,,NO_MATCH,0.0
Panelytic,,NO_MATCH,0.0
Blume Benefits,,NO_MATCH,0.0
Tusk,,NO_MATCH,0.0
Attunement,,NO_MATCH,0.0
StarJar,,NO_MATCH,0.0
Meticulate,,NO_MATCH,0.0
Guide Labs,,NO_MATCH,0.0
Speck,,NO_MATCH,0.0
Polished,,NO_MATCH,0.0
LemonSlice,,NO_MATCH,0.0
Decipher AI,,NO_MATCH,0.0
Toolify,,NO_MATCH,0.0
Clarion,,NO_MATCH,0.0
Tamarind Bio,,NO_MATCH,0.0
GloGlo,,NO_MATCH,0.0
PandasAI,,NO_MATCH,0.0
Parallel,,NO_MATCH,0.0
Fuse,,NO_MATCH,0.0
Feldy,,NO_MATCH,0.0
Firebender,,NO_MATCH,0.0
Resonance,,NO_MATCH,0.0
Centralize,,NO_MATCH,0.0
Solari AI,,NO_MATCH,0.0
Ellipsis,,NO_MATCH,0.0
Browser Buddy,,NO_MATCH,0.0
Superagent,,NO_MATCH,0.0
Preloop,,NO_MATCH,0.0
Andy AI,,NO_MATCH,0.0
Overeasy,,NO_MATCH,0.0
OffDeal,,NO_MATCH,0.0
Abel,,NO_MATCH,0.0
EdgeTrace,,NO_MATCH,0.0
Manifold Freight,,NO_MATCH,0.0
ProSights,,NO_MATCH,0.0
Raindrop,,NO_MATCH,0.0
Diana,,NO_MATCH,0.0
Risotto,,NO_MATCH,0.0
JustAI,,NO_MATCH,0.0
BetterBasket,,NO_MATCH,0.0
Model ML,,NO_MATCH,0.0
Ligo Biosciences,,NO_MATCH,0.0
Focal,,NO_MATCH,0.0
Brainbase Labs,,NO_MATCH,0.0
Alai,,NO_MATCH,0.0
Thorntale,,NO_MATCH,0.0
Openmart,,NO_MATCH,0.0
Shepherd,,NO_MATCH,0.0
Downlink,,NO_MATCH,0.0
camelAI,,NO_MATCH,0.0
Rove,,NO_MATCH,0.0
Retell AI,,NO_MATCH,0.0
Adapted,,NO_MATCH,0.0
Deepnight,,NO_MATCH,0.0
Aqua Voice,,NO_MATCH,0.0
Basepilot,,NO_MATCH,0.0
Veles,,NO_MATCH,0.0
Lumona,,NO_MATCH,0.0
Arcane,,NO_MATCH,0.0
Senso,,NO_MATCH,0.0
Silogy,,NO_MATCH,0.0
Evolvere BioSciences,,NO_MATCH,0.0
Piramidal,,NO_MATCH,0.0
VoxOps AI,,NO_MATCH,0.0
Integuru,,NO_MATCH,0.0
Forge,,NO_MATCH,0.0
Tower,,NO_MATCH,0.0
kater.ai,,NO_MATCH,0.0
Yarn,,NO_MATCH,0.0
InspectMind AI,,NO_MATCH,0.0
GetCrux,,NO_MATCH,0.0
Million,,NO_MATCH,0.0
Forge Rewards,,NO_MATCH,0.0
Marr Labs,,NO_MATCH,0.0
Coval,,NO_MATCH,0.0
Ångström AI,,NO_MATCH,0.0
Domu Technology Inc.,,NO_MATCH,0.0
Educato,,NO_MATCH,0.0
ProhostAI,,NO_MATCH,0.0
Entangl,,NO_MATCH,0.0
Invaria,,NO_MATCH,0.0
Corgi Insurance,,NO_MATCH,0.0
Maitai,,NO_MATCH,0.0
Sorcerer,,NO_MATCH,0.0
FirstWork,,NO_MATCH,0.0
Decisional AI,,NO_MATCH,0.0
Unbound,,NO_MATCH,0.0
Silurian,,NO_MATCH,0.0
NetworkOcean,,NO_MATCH,0.0
Willow,,NO_MATCH,0.0
Scape,,NO_MATCH,0.0
Storia AI,,NO_MATCH,0.0
Elevate,,NO_MATCH,0.0
RunLocal AI,,NO_MATCH,0.0
CodeViz,,NO_MATCH,0.0
Lore,,NO_MATCH,0.0
MinusX,,NO_MATCH,0.0
Tivara,,NO_MATCH,0.0
Kenley,,NO_MATCH,0.0
Stormy,,NO_MATCH,0.0
Plume,,NO_MATCH,0.0
Modus,,NO_MATCH,0.0
Lighthouz AI,,NO_MATCH,0.0
TaxGPT,,NO_MATCH,0.0
Benchify,,NO_MATCH,0.0
Anthrogen,,NO_MATCH,0.0
Aluna,,NO_MATCH,0.0
Ontra Mobility,,NO_MATCH,0.0
Overstand Labs,,NO_MATCH,0.0
Clearly AI,,NO_MATCH,0.0
Anara,,NO_MATCH,0.0
Planbase,,NO_MATCH,0.0
Redouble AI,,NO_MATCH,0.0
Drillbit,,NO_MATCH,0.0
winfunc,,NO_MATCH,0.0
Opslane,,NO_MATCH,0.0
Conductor Quantum,,NO_MATCH,0.0
Mage Legal,,NO_MATCH,0.0
Remade,,NO_MATCH,0.0
Zeit AI,,NO_MATCH,0.0
Kura AI,,NO_MATCH,0.0
Parley,,NO_MATCH,0.0
Soff,,NO_MATCH,0.0
Brighterway,,NO_MATCH,0.0
The Forecasting Company,,NO_MATCH,0.0
Presti AI,,NO_MATCH,0.0
Sensei,,NO_MATCH,0.0
Simple AI,,NO_MATCH,0.0
YouShift,,NO_MATCH,0.0
Baseline AI,,NO_MATCH,0.0
Thyme,,NO_MATCH,0.0
Handled,,NO_MATCH,0.0
Bluedoor,,NO_MATCH,0.0
ZeroPath,,NO_MATCH,0.0
Propaya,,NO_MATCH,0.0
Polymet,,NO_MATCH,0.0
autarc,,NO_MATCH,0.0
Assembly HOA,,NO_MATCH,0.0
Orca Client,,NO_MATCH,0.0
Draft The Record,,NO_MATCH,0.0
Typa,,NO_MATCH,0.0
Quetzal,,NO_MATCH,0.0
Rastro,,NO_MATCH,0.0
Serve AI,,NO_MATCH,0.0
Elayne,,NO_MATCH,0.0
Usul,,NO_MATCH,0.0
Keet,,NO_MATCH,0.0
Vera Health,,NO_MATCH,0.0
Pipeshift,,NO_MATCH,0.0
Ficra,,NO_MATCH,0.0
Anglera,,NO_MATCH,0.0
Void,,NO_MATCH,0.0
Overlap,,NO_MATCH,0.0
Affil.ai,,NO_MATCH,0.0
Arva AI,,NO_MATCH,0.0
Freestyle,,NO_MATCH,0.0
Syntra,,NO_MATCH,0.0
Conductor,,NO_MATCH,0.0
DreamRP,,NO_MATCH,0.0
Onlook,,NO_MATCH,0.0
Zeroframe,,NO_MATCH,0.0
Riveter,,NO_MATCH,0.0
Galini,,NO_MATCH,0.0
Candle,,NO_MATCH,0.0
Openbenchmarks,,NO_MATCH,0.0
Raycaster,,NO_MATCH,0.0
Revyl,,NO_MATCH,0.0
